id		description		product_type		netto_content		unit_of_measure		brutto_weight		length		depth		height		assortm_code
833327		WIJN V.H. VAT ROUGE		0200 Wijnen rood		1000		ML										2
834577		WIJN V.H. VAT BLANC DEMI SEC		0201 Wijnen wit		1000		ML										2
834607		WIJN V.H. VAT BLANC SEC		0201 Wijnen wit		1000		ML										2
858237		ALTE WEIN STUBE		0201 Wijnen wit		1000		ML										2
793761		APPERITIVO		0204 Port sherry vermouth		2000		ML										2
793762		MONTILLA MEDIUM DRY		0204 Port sherry vermouth		750		ML										4
793763		MONTILLA PALE DRY		0204 Port sherry vermouth		750		ML										4
394963		EIERSPECIALITEIT		0206 Likeur en vruchtenwijn		500		ML										2
191017		KEUKENZOUT		0091 Zout		1000		GR		1030		10		7		13		1
303620		ZEEZOUT GROF		0091 Zout		500		GR										2
303892		VACUUM ZOUT		0091 Zout		1000		GR		1023		11		4		22		1
309761		BEWUST  ZOUTNATRIUM-ARM		0091 Zout		90		GR										2
301027		KEUKENZOUT GROOT		0091 Zout		600		GR		650		7		7		14.5		1
318151		ZEEZOUT FIJN		0091 Zout		300		GR										2
714857		KEUKENZOUT KLEIN		0091 Zout		125		GR		142		4.5		4.5		9		1
796783		VAATWASZOUT		0243 Afwasmiddelen		2000		GR		2147		14.5		6.5		21.5		1
315466		STROOIZOUT		0280 Kleinvak		5000		GR										2
315465		STROOIZOUT		3500 Nonfood		25		KG										2
107977		WORST VD HOND KIP/RUND		0230 Hond nat		400		GR										4
319132		CURRY SAUS		0045 Natte sauzen koud		450		ML										2
319133		FRITES SAUS		0045 Natte sauzen koud		450		ML										2
349088		HALFVOLLE KOFFIEMELK		0180 Koffiemelk		186		ML										2
599429		PIZZA SALAMI		0370 Maaltijden		305		GR										1
599420		PIZZA SHOARMA		0370 Maaltijden		310		GR										2
599421		PIZZA MOZARELLA		0370 Maaltijden		340		GR										1
599936		PIZZA MARGHERITA		0370 Maaltijden		265		GR										1
307508		DESSERTGALETTEN		0152 Stuksartikelen Koek		20		ST										2
307509		LUIKSE WAFELS		0152 Stuksartikelen Koek		5		ST		287		16		11		10		1
307502		VANILLE GLACEWAFELS		0152 Stuksartikelen Koek		300		GR										
394562		KRUIDEN TIJM		0434 Groentenprodukten zacht		1		ST										1
394563		KRUIDEN SELDERIJ		0434 Groentenprodukten zacht		1		ST										1
394565		KRUIDEN MUNT		0434 Groentenprodukten zacht		1		ST										1
394573		KRUIDEN ROZEMARIJN		0434 Groentenprodukten zacht		1		ST										1
305174		KRUIDEN PETERSELIE		0434 Groentenprodukten zacht		1		ST										2
305175		KRUIDEN BIESLOOK		0434 Groentenprodukten zacht		1		ST										1
305176		KRUIDEN DILLE		0434 Groentenprodukten zacht		1		ST										2
305288		KRUIDEN KORIANDER		0434 Groentenprodukten zacht		1		ST										1
305289		KRUIDEN BASILICUM		0434 Groentenprodukten zacht		1		ST										1
319379		SPAGHETTI VOLKOREN		0035 Deegwaren		500		GR										2
319370		MACARONI VOLKOREN		0035 Deegwaren		500		GR		510		9		3.5		30		2
799950		SJAAL 4.95		0287 Textiel & beenmode		1		ST										2
799951		SJAAL 5.95		0287 Textiel & beenmode		1		ST										2
349180		MAYA DE BIJ HONING		0084 Honing		250		GR										2
599030		GESN EXTRA GERIJPT LACTOSEVRIJ		0381-Kaas gesneden verpakt		150		GR										1
599031		GESN GERIJPT LACTOSEVRIJ		0381-Kaas gesneden verpakt		150		GR										1
403558		KOKOSOLIE		0092 Oosterse specialiteiten		500		ML										4
599052		HOUMOUS		0384-Buitenlandse kaas verpak		125		GR		139		10		10		5		1
797636		IJSTHEE REGULAR		0190 Frisdranken groot		1500		ML		1593		8		8		34		1
797641		IJSTHEE LIGHT		0190 Frisdranken groot		1500		ML		1542		8		8		34		1
794779		BRONWATER KZV		0192 Mineraalwater		1500		ML		1541		9		9		34		1
794770		BRONWATER KZH		0192 Mineraalwater		1500		ML		1540		9		9		34		1
343119		BRONWATER KZV PET		0196 Mineraalwater klein		3000		ML		3111		19		13		23		1
797319		GLAS & MULTI REINIGER		0244 Reinigings- & poetsmid.		750		ML		787		9		5.5		30		1
797310		KALKREINIGER SPRAY		0244 Reinigings- & poetsmid.		750		ML		834		9		5		31		1
799019		MULTI ONTVETTER		0244 Reinigings- & poetsmid.		750		ML		808		9		5		31		1
799048		KALKREINIGER		0244 Reinigings- & poetsmid.		500		ML		563		7		7		21.5		1
300061		SATESAUS KANT & KLAAR		0043 Natte sauzen warm		500		GR		534		12		12		8.5		1
318656		SATESAUS GECONCENTREERD		0043 Natte sauzen warm		1000		GR		1062		14		14		9.5		1
403706		SAT╔SAUS KANT EN KLAAR		0043 Natte sauzen warm		185		GR										1
300331		BOEMBOE VOOR NASI  GORENG		0092 Oosterse specialiteiten		100		GR		115		10		10		3		1
300332		BOEMBOE VOOR SAJOER BOONTJES		0092 Oosterse specialiteiten		100		GR		115		10		10		3		1
300333		BOEMBOE VOOR BAMI GORENG		0092 Oosterse specialiteiten		100		GR		115		10		10		3		1
302124		GEBAKKEN UITJES		0092 Oosterse specialiteiten		100		GR		119		10		10		8		1
302126		BOEMBOE VOOR REDANG VLEES		0092 Oosterse specialiteiten		100		GR		116		10		10		3		1
302138		BOEMBOE VOOR AJAM PANIKI		0092 Oosterse specialiteiten		100		GR		116		10		10		3		1
310901		WOKSAUS FICE SPICES		0092 Oosterse specialiteiten		175		ML		390		5		5		17.5		1
310902		WOKSAUS SWEET & SOUR		0092 Oosterse specialiteiten		175		ML		386		5		5		17.5		1
310903		WOKSAUS TERIYAKI		0092 Oosterse specialiteiten		175		ML		377		5		5		17.5		1
403536		QUINOA		0034 Rijst		430		GR										2
794820		HALFVOLLE MELK		0351 Melkdranken houdbaar		1000		ML		1061		7.5		7.5		20.5		1
794821		MAGERE MELK		0351 Melkdranken houdbaar		1000		ML		1042		7.5		7		20.5		1
794822		VOLLE MELK		0351 Melkdranken houdbaar		1000		ML		1072		7.5		7		20.5		1
597861		POTGROND 20 LITER		0444 Potgrond		20		LT										2
597923		TUINAARDE 25 LITER		0444 Potgrond		25		LT										4
597855		PANINI PROSCIUTTO		0370 Maaltijden		180		GR		179		28		11		4		1
597868		PANINI POLLO PESTO		0370 Maaltijden		175		GR		176		28		11		4		1
597860		SANDWICH BACON-EI		0370 Maaltijden		161		GR										4
502863		SANDWICH SPICY CHICKEN		0370 Maaltijden		145		GR										4
529676		PANINI PEPPERONI		0370 Maaltijden		155		GR										2
403586		PUNTASPERGES		0111 Groenten in glas		314		ML		488		7		7		13		1
319510		KERSEN ZONDER PIT		0120 Vruchtenconserven		720		ML		1003		10		10		13		1
319964		HOLLANDSE KERSEN ZONDER PIT		0120 Vruchtenconserven		350		ML		538		8.5		8.5		10.5		1
213077		TROSTOMATEN		0433 Groentenprodukten hard		1		KG										1
301487		TOMATEN POMMODORI		0433 Groentenprodukten hard		500		GR										1
803709		TOMAAT SNOEP SHAKER		0433 Groentenprodukten hard		1		ST										1
803802		AARDAPPELEN EKO VASTKOKEND		0436 Aardappelen		1		KG										2
803900		GOURMANDINE LICHT KRUIMIG		0436 Aardappelen		2		KG										1
803936		VERSE KRIELAARDAPPELEN		0436 Aardappelen		600		GR										1
803025		STAMPPOTAARDAPPEL KRUIMIG		0436 Aardappelen		1500		GR										1
803026		ZOETE AARDAPPEL		0436 Aardappelen		1000		GR										2
803041		MAALTJE VASTKOKEND		0436 Aardappelen		1000		GR										1
803042		MAALTJE KRUIMIG		0436 Aardappelen		1000		GR										1
313813		ECHTE ZAANSE MOSTERD GROF		0045 Natte sauzen koud		335		GR		521		8		8		10		1
302888		SNOEPMIX		0164 Snoep verpakt		400		GR		414		15.5		23		3		1
313515		WINEGUMS ZUUR		0164 Snoep verpakt		300		GR										1
310900		DROPFRUIT DUO'S		0164 Snoep verpakt		400		GR		402		14		2.5		21		1
307334		DUBBELSPEKKEN		0168 Uitdeel spek en lollies		12		ST		214		14.5		21		4.5		1
310908		UITDEELSNOEP		0168 Uitdeel spek en lollies		400		GR		417		24		26		3		1
599195		FRUITY ANANAS-MELOEN-MANGO-PAS		0345 Sappen dagvers		500		ML										1
803836		FRUITY SINAASAPPELSAP		0345 Sappen dagvers		500		ML										1
803847		FRUITY SINAAS-KIWI SAP		0345 Sappen dagvers		500		ML										1
803849		FRUITY APPEL-PEER-FRAMBOOSSAP		0345 Sappen dagvers		500		ML										1
794152		MULTIVIT BOSVRUCHTEN		0142 Vitaminedranken		500		ML		658		6.5		6.5		22		1
797444		MULTIVIT PERZIK		0142 Vitaminedranken		500		ML		656		6.5		6.5		22		1
798303		VRUCHTENMIX		0142 Vitaminedranken		750		ML										4
799088		VRUCHTENMIX		0142 Vitaminedranken		500		ML		643		6.5		6.5		22		1
395859		FRAMBOZEN SIROOP		0193 Limonadesiropen		750		ML		1061		7.5		7.5		23.5		1
395851		SINAS SIROOP		0193 Limonadesiropen		750		ML		1056		7.5		7.5		23.5		1
395852		GRENADINE SIROOP		0193 Limonadesiropen		750		ML		1058		7.5		7.5		23.5		1
395853		GRENADINE SIROOP		0193 Limonadesiropen		750		ML										4
395866		CASSIS SIROOP		0193 Limonadesiropen		750		ML		1057		7.5		7.5		23.5		1
395878		AARDBEIENSIROOP		0193 Limonadesiropen		750		ML		1028		7.5		7.5		23		1
395879		BOSVRUCHTEN SIROOP		0193 Limonadesiropen		750		ML		1060		7.5		7.5		23.5		1
349932		TROPICAL SIROOP		0193 Limonadesiropen		750		ML										1
798443		SIROOP SINAASAPPEL		0193 Limonadesiropen		750		ML										4
798444		SIROOP FRAMBOOS		0193 Limonadesiropen		750		ML										4
403775		GROENE OLIJF TAPENADE		0042 Tafelzuren		140		GR										
403776		ZONGEDROOGDE TOMATEN TAPENADE		0042 Tafelzuren		140		GR										
803845		AMELANDER VERSE SLADRESSING		0438 Assortiment DC Ochten		250		ML										2
803846		AMELANDER HONING-MOST DRESSING		0438 Assortiment DC Ochten		250		ML										2
543473		URKER DIKKERTJES		0453 Koek en chocolade		1		ST										2
543474		URKER MERGPIJPJES		0453 Koek en chocolade		1		ST										2
543821		URKER EXPO'S		0453 Koek en chocolade		1		ST										2
392194		VOLLE YOGHURT APPEL/KANEEL		0343-Desserts		500		ML										2
392195		VOLLE YOGH.ZWARTE KERS		0343-Desserts		500		ML										2
597843		HANGOP FRAMBOOS VANILLE		0343-Desserts		650		GR										2
599997		VOLLE YOGHURT AARDB/FRAMBOOS		0343-Desserts		200		GR										2
599999		VOLLE YOGHURT ZWARTE KERS		0343-Desserts		200		GR										2
599040		HANGOP PERZIK ABRIKOOS		0343-Desserts		650		GR										2
599046		BITTERKOEKJESPUDDING		0343-Desserts		500		GR		294		11.5		11.5		8.5		1
599058		GRIESMEELPUD. RODE BESSENSAUS		0343-Desserts		500		GR		522		11.1		11.1		8		1
599059		VANILLEPUDDING AARDBEIENSAUS		0343-Desserts		500		GR		522		11.5		11.5		8.5		1
599050		CHIPOLATAPUDDING		0343-Desserts		500		GR		308		11.5		11.5		8.5		1
803863		STOOFPEREN		0438 Assortiment DC Ochten		400		GR										1
803076		SMULPEER		0438 Assortiment DC Ochten		400		GR										2
213977		BANANEN		0437 Bananen		1		KG										1
343392		SUNNYFRUIT SINAASAPP. POUCH		0195 Vruchtensappen klein		2000		ML		2186		26		10		14		1
343393		SUNNYFRUIT MULTIVIT POUCH		0195 Vruchtensappen klein		2000		ML		2183		26		10		14		1
803948		FP FRUITSALADE SPECIAAL		0435 Panklaar		400		GR										2
803949		FP FRUITSALADE LUXE		0435 Panklaar		250		GR										2
803198		FP FRUITSALADE OP SAP		0435 Panklaar		480		ML										1
803199		FP ANANAS OP SAP		0435 Panklaar		480		ML										1
803190		FP MELOENMIX OP SAP		0435 Panklaar		480		ML										1
319333		OLIJFOLIE ANFORA		0040 Olien en frituurvetten		500		ML		727		7		5.5		22		1
403803		DRUIVENPITOLIE		0040 Olien en frituurvetten		500		ML										
206797		PEPPERSAUCE		0045 Natte sauzen koud		57		ML										
319344		DIJON ORIGINALE		0045 Natte sauzen koud		215		GR		358		7		7		9.5		1
743602		SOFT-PICKS REGULAR		0306-Mondverzorging		40		ST										2
319789		GRIEKSE TZATZIKI		0045 Natte sauzen koud		265		ML										2
403491		TURKSE KNOFLOOKSAUS		0045 Natte sauzen koud		535		ML										2
403408		IERSE COCKTAILSAUS		0045 Natte sauzen koud		265		ML		313		5.5		5.5		17		1
296207		DRUIVEN BLAUW PITLOOS		0431 Zacht fruit		500		GR										
303142		DRUIVEN WIT PITLOOS		0431 Zacht fruit		500		GR										1
388847		GRAPEFRUIT NET		0432 Citrus fruit		4		ST										1
543784		VELUWSE ZACHTE BROK		0453 Koek en chocolade		425		GR										1
302907		CHAMPIGNONS FIJN		0434 Groentenprodukten zacht		250		GR										1
386557		CHAMP. OESTERZWAMMEN		0434 Groentenprodukten zacht		150		GR										1
387497		CHAMPIGNONS KASTANJE		0434 Groentenprodukten zacht		250		GR										1
387437		CHAMPIGNON PORTABELLA		0434 Groentenprodukten zacht		1		ST										1
387467		CHAMPIGNONS GESN.		0434 Groentenprodukten zacht		150		GR										1
803622		CHAMPIGNONS MIDDEL		0434 Groentenprodukten zacht		400		GR										1
543896		BITTERKOEKJES		0453 Koek en chocolade		220		GR										2
397841		MAGERE CHOCOLADEMELK		0350 Chocoladedranken houdbaar		1000		ML										4
343335		CHOCOLADEMELK HALFVOL MINI		0350 Chocoladedranken houdbaar		1200		ML										4
397848		HALFVOLLE MELK		0351 Melkdranken houdbaar		1000		ML										4
343334		YOGHURTDRINK AARDBEI MINI		0352 Zuiveldranken houdbaar		1200		ML										4
349296		SLAGROOM		0353 Desserts houdbaar		200		ML										4
797400		FILTERZAK NO.4 BRUIN		0022 Filterzakjes		80		ST		172		13.5		4		20		1
799128		FILTERZAKJES NO. 2 BRUIN		0022 Filterzakjes		80		ST		143		12.5		4.5		17.5		1
599171		GOUDA 48+ KOMIJN JONG BELEGEN		0380-Kaas stukken verpakt		475		GR										
599172		GOUDA 48+ OUD		0380-Kaas stukken verpakt		430		GR										
599173		GOUDA 48+ BELEGEN		0380-Kaas stukken verpakt		470		GR										
599174		GOUDA 48+ EXTRA BELEGEN		0380-Kaas stukken verpakt		450		GR										
599175		GOUDA 48+ JONG BELEGEN		0380-Kaas stukken verpakt		485		GR										
599176		GOUDA 48+ JONG		0380-Kaas stukken verpakt		510		GR										
599288		BELEGEN 48+ STUK		0380-Kaas stukken verpakt		880		GR										
599289		JONG BELEGEN 48+ STUK		0380-Kaas stukken verpakt		900		GR										
599280		JONG 48+ STUK		0380-Kaas stukken verpakt		945		GR										
599867		GESN JONG BELEGEN		0381-Kaas gesneden verpakt		400		GR										2
392638		INSTANT CHOCO DRINK		0025 Cacaopoeder & instant		400		GR		439		9		9		20		1
271187		CREAMCRACKERS		0071 Broodvervangers		200		GR		240		16		7		7		1
391865		CRACKERBREAD		0071 Broodvervangers		200		GR		254		27.5		7		12		1
403449		VOLKOREN VOEDINGSBISKWIE		0071 Broodvervangers		300		GR										2
663992		KN─CKEBROD SESAM		0071 Broodvervangers		250		GR										4
730247		KN─CKEBROD VOLKOREN		0071 Broodvervangers		250		GR										4
397861		CRACKERTJES		0173 Toast		250		GR										4
313985		CREAM CRACKERS		0173 Toast		300		GR		314		25		6.5		6.5		1
798931		PAPIEREN AFVALZAK 240 LITER		0281 Huishoudelijke artikelen		3		ST										2
716067		PAPIEREN AFVALZAK 140L		0281 Huishoudelijke artikelen		4		ST										2
392811		BUNNIES		0170 Chips & sticks		75		GR		81		18		6		26		1
300112		KRULCHIPS NATUREL.		0170 Chips & sticks		110		GR		118		17		6		28		1
300113		KRULCHIPS PAPRIKA.		0170 Chips & sticks		110		GR		118		17		6		28		1
318723		KNIBBELS		0170 Chips & sticks		108		GR		116		17		6		28		1
319025		CIJFERS EN LETTERS		0170 Chips & sticks		75		GR		83		17.5		4.5		28		1
307406		RB APPEL-KRUIMEL KOEKEN		0152 Stuksartikelen Koek		6		ST										2
307418		SNEEUWWITJES		0152 Stuksartikelen Koek		6		ST										2
307465		PENCEES		0152 Stuksartikelen Koek		5		ST										2
307466		RB APPELSTERREN		0152 Stuksartikelen Koek		300		GR		307		19.5		10		5		1
307580		BRUIDSGEBAKJES		0152 Stuksartikelen Koek		6		ST										2
307581		ORANJEKOEK STUKJES		0152 Stuksartikelen Koek		250		GR		280		21		10		4		1
307428		APPELCAKEJES		0153 Snijkoek cake		6		ST										2
307410		RB BOTERKOEKTAARTJE		0157 Luxe Banket toefzakken		450		GR		469		19.5		19.5		2.5		1
307413		RB DUOCAKEJES		0157 Luxe Banket toefzakken		6		ST										2
307414		RB EIERCAKEJES		0157 Luxe Banket toefzakken		6		ST										2
394714		THEELICHTEN		0285 Kaarsen		100		ST		1197		19.5		19.5		5.5		1
318352		SUGAREL ZOETSTOF DISP.		0011 Zoetstoffen		1200		ST		99		4		4		12		1
349912		OPLOSKOFFIE GOLD		0021 Oploskoffie & koffiestr.		100		GR										4
326651		20 KRUIDEN OPLOSTHEE		0023 Thee		200		GR		240		7.5		7.5		14		2
349258		20 KRUIDEN OPLOSTHEE		0023 Thee		200		GR										
396575		HOT CHOCOLATE		0025 Cacaopoeder & instant		400		GR		412		10.5		7.5		24		1
391515		CACAO POWDER		0025 Cacaopoeder & instant		250		GR		278		9.5		4.5		15.5		1
599461		GEMBER 48+ KAAS		0412 Binnenlandse kaas		150		GR										2
599462		ZWARTE PEPER 48+ KAAS		0412 Binnenlandse kaas		150		GR										2
599463		MOSTERD DILLE 48+ KAAS		0412 Binnenlandse kaas		150		GR										2
403464		BOSPADDENSTOELEN SOEP		0051 Vloeibare kooksoep		570		ML		570		15		10		19		1
403465		CHINESE TOMATEN SOEP		0051 Vloeibare kooksoep		570		ML										2
403466		ERWTEN SOEP		0051 Vloeibare kooksoep		570		ML										1
403478		MOSTERD SOEP		0051 Vloeibare kooksoep		570		ML		574		15		10		19		1
403479		PITTIGE TOMATEN SOEP		0051 Vloeibare kooksoep		570		ML										2
403470		ROMIGE KIPPEN SOEP		0051 Vloeibare kooksoep		570		ML										1
403471		ROMIGE TOMATEN SOEP		0051 Vloeibare kooksoep		570		ML		568		14		8		18		1
403472		HOLLANDSE TOMATEN SOEP		0051 Vloeibare kooksoep		570		ML										1
403473		POMPOEN SOEP		0051 Vloeibare kooksoep		570		ML										1
403474		ITALIAANSE TOMATEN SOEP		0051 Vloeibare kooksoep		570		ML										2
803835		SPINAZIE ONGEWASSEN		0434 Groentenprodukten zacht		450		GR										2
396961		ZILVERVLIESRIJST		0034 Rijst		400		GR		414		9.5		3.5		17.5		1
396962		WITTE RIJST		0034 Rijst		400		GR		411		9.5		3.5		17.5		1
302023		MEERGRANEN RIJST		0034 Rijst		275		GR		312		9.5		3.5		17.5		1
302024		NOTENRIJST		0034 Rijst		275		GR		302		9.5		3.5		17.5		1
302025		RISOTTORIJST		0034 Rijst		400		GR		418		9.5		3.5		17.5		1
319146		GELE RIJST		0034 Rijst		325		GR		352		9.5		3.5		17.5		1
319211		WITTE RIJST		0034 Rijst		1000		GR		1013		9.5		7.3		19		1
394140		CASHEWNOTEN GEZOUTEN		0172 Pinda's & noten		150		GR		157		12		5		19.5		1
394143		CASHEWNOTEN ONGEZOUTEN		0172 Pinda's & noten		150		GR		158		12		5		19.5		1
397016		PINDA'S GEZOUTEN		0172 Pinda's & noten		350		GR										2
397028		PISTACHENOTEN		0172 Pinda's & noten		200		GR										4
306346		PINDA'S GEZOUTEN		0172 Pinda's & noten		250		GR		359		14		5		20		1
306358		PINDA'S ONGEZOUTEN		0172 Pinda's & noten		250		GR		251		14		5		20		1
300358		STUDENTENHAVER		0172 Pinda's & noten		200		GR										4
302681		CHOCOLADE JUMBO ROZIJNEN		0172 Pinda's & noten		275		GR		302		15		10		7.5		1
302682		PISTACHENOTEN GEROOSTERD		0172 Pinda's & noten		175		GR		198		15		10		7.5		1
302684		NOTENMIX GEBAKKEN		0172 Pinda's & noten		225		GR		246		15		10		7.5		1
302685		SUIKERPINDA'S		0172 Pinda's & noten		225		GR		247		15		10		7.5		1
302686		KATJANG PEDIS		0172 Pinda's & noten		200		GR		223		15		10		7.5		1
302698		ELITEHAVER		0172 Pinda's & noten		225		GR		246		15		10		7.5		1
302699		CHOCOLADE PINDA'S KING SIZE		0172 Pinda's & noten		250		GR		272		15		10		7.5		1
302690		CASHEWNOTEN ONGEZOUTEN		0172 Pinda's & noten		225		GR		249		15		10		7.5		1
302691		CASHEWNOTEN GEZOUTEN		0172 Pinda's & noten		225		GR		246		14.5		9.5		7.5		1
302696		CHOCOMIX		0172 Pinda's & noten		275		GR										2
302821		NOTENMELANGE MACADAMIA		0172 Pinda's & noten		225		GR		247		15		10		7.5		1
302122		PINDA'S GEZOUTEN KS		0172 Pinda's & noten		250		GR		271		15		10		7.5		1
302123		PINDA'S ONGEZOUTEN KS		0172 Pinda's & noten		250		GR		273		15		10		7.5		1
313745		NATUREL MIX		0172 Pinda's & noten		225		GR										1
313982		DOPPINDA'S		0172 Pinda's & noten		500		GR										4
318552		SUIKERPINDA'S		0172 Pinda's & noten		250		GR										4
318553		PEPITA MIX		0172 Pinda's & noten		250		GR										4
319838		CHOCOLADE PINDA'S		0172 Pinda's & noten		200		GR										4
319850		ZOET NOTENMIX MET CRANBERRY'S		0172 Pinda's & noten		200		GR										2
403584		ONGEZOUTEN WALNOTEN		0172 Pinda's & noten		110		GR		127		15		10		6		1
300338		CHOCO & CRUNCH		0160 Chocolade en bonbons		150		GR		160		14		5		17		1
319555		CHOCO & PINDA		0160 Chocolade en bonbons		250		GR		257		14		5		17		1
319556		CHOCO & HAZELNOOT		0160 Chocolade en bonbons		200		GR		207		14		5		17		1
594663		BOLLETJE SAKS NATUREL		0403 Leverprodukten		150		GR										1
594665		BOLLETJE LIKKEPOT		0403 Leverprodukten		150		GR										1
391045		LASAGNE VERDE		0370 Maaltijden		400		GR										2
391046		LASAGNE BOLOGNESE		0370 Maaltijden		400		GR		428		14		16.5		6		1
391058		LASAGNE BOLOGNESE		0370 Maaltijden		1000		GR		1069		16.5		28		5		1
395364		CHIPS NATUREL		0170 Chips & sticks		200		GR		212		19		7		34		1
395366		CHIPS PAPRIKA		0170 Chips & sticks		200		GR		210		19		7		34		1
395379		CHIPS BOLOGNESE		0170 Chips & sticks		200		GR		210		19		7		34		1
395370		RIBBELCHIPS NATUREL		0170 Chips & sticks		200		GR		209		19		6		30		1
395371		RIBBELCHIPS PAPRIKA		0170 Chips & sticks		200		GR		209		19		6		32		1
303249		CHIPS UITDEELZAKJES 15 PACK		0170 Chips & sticks		15		ST		441		30		14		38		1
308065		CHIPS NATUREL		0170 Chips & sticks		200		GR										4
308078		CHIPS PAPRIKA		0170 Chips & sticks		200		GR										4
300186		CHIPS CHEESE ONION		0170 Chips & sticks		200		GR		212		19		7		34		1
300110		TORTILLA CHIPS NACHO CHEESE		0170 Chips & sticks		165		GR		172		19.5		5		26		1
302809		CHIPS BOLOGNESE		0170 Chips & sticks		250		GR										2
302800		CHIPS NATUREL		0170 Chips & sticks		250		GR										2
302801		CHIPS PAPRIKA		0170 Chips & sticks		250		GR										2
302058		CHIPS SATE		0170 Chips & sticks		250		GR										2
302195		TORTILLA CHIPS NATUREL		0170 Chips & sticks		165		GR		172		18		6		25.5		1
318346		FRITES STICKS NATUREL		0170 Chips & sticks		150		GR		155		13		5		26.5		1
318358		FRITES STICKS PAPRIKA		0170 Chips & sticks		150		GR		155		13		6		28		1
302449		RAVIOLI BOLOGNESE		0037 Houdbare maaltijden		800		ML										4
403590		MEXICAANSE DIP		0037 Houdbare maaltijden		300		GR										1
403591		TACO SAUS		0037 Houdbare maaltijden		230		GR										1
403592		SALSA DIP		0037 Houdbare maaltijden		300		GR		490		9		9		7.5		1
318763		KAPPERTJES		0042 Tafelzuren		100		GR		205		5		5		8.5		1
318871		ZONGEDROOGDE TOMATEN OP OLIE		0042 Tafelzuren		280		GR		509		7		7		12.5		2
310598		ZONGEDROOGDE REEPJES TOMAAT OL		0042 Tafelzuren		280		GR		512		7		7		12		1
396956		PASTASAUS TRADITIONALE		0043 Natte sauzen warm		490		GR		783		8		8		15		1
391054		PASTASAUS PICCANTE		0043 Natte sauzen warm		490		GR		776		8		8		15		1
391055		PASTASAUS SPECIALE		0043 Natte sauzen warm		490		GR		777		8		8		15		2
307811		ROERBAKSAUS KERRIE		0043 Natte sauzen warm		490		ML		745		8		8		15.5		1
307812		ROERBAKSAUS SATE		0043 Natte sauzen warm		470		ML										1
307813		ROERBAKSAUS HAWAI		0043 Natte sauzen warm		470		ML		744		8		8		15.5		1
309816		PASTASAUS PIKANT		0043 Natte sauzen warm		520		GR										4
300054		PASTASAUS BOLOGNESE		0043 Natte sauzen warm		490		GR		782		8		8		15		1
313589		ROERBAKSAUS ZOETZUUR		0043 Natte sauzen warm		490		ML		744		8		8		15.5		1
319019		PASTASAUS MET OLIJVEN		0043 Natte sauzen warm		300		GR		478		7		7		12		2
319010		PASTASAUS MET PANCETTA		0043 Natte sauzen warm		300		GR		482		7		7		12		1
319011		PASTASAUS BASILICUM		0043 Natte sauzen warm		490		GR		772		8		8		15		1
319012		PASTASAUS FORMAGGI		0043 Natte sauzen warm		490		GR		771		8		8		15		2
319062		GROENE PESTO		0043 Natte sauzen warm		180		GR		391		11		5		8		1
319063		RODE PESTO		0043 Natte sauzen warm		180		GR		385		11		5		8		1
319151		ROERBAKSAUS AJAM PANGANG		0043 Natte sauzen warm		470		ML		748		8		8		15.5		2
310974		PASTASAUS BOLOGNESE		0043 Natte sauzen warm		450		GR		454		14		7		20.5		1
310975		PASTASAUS KNOFLOOK		0043 Natte sauzen warm		450		GR		465		14		7		20.5		1
310088		PASTASAUS KRUIDIG		0043 Natte sauzen warm		450		GR		447		14		7		20.5		1
403855		ROERBAKSAUS KETJAP		0043 Natte sauzen warm		470		ML										
403856		ROERBAKSAUS TIKKA MASALA		0043 Natte sauzen warm		470		ML										
793621		PASTASAUS CARBONARA		0043 Natte sauzen warm		470		GR		758		8		8		15		1
397482		DOPERWTEN EF 1/2		0110 Groenten in blik		400		GR		469		7.5		7.5		11		1
397544		SPERZIEBONEN GEB. 1/2		0110 Groenten in blik		400		GR		453		7.5		7.5		11		1
397556		DOPERWT/WORTEL 1/2		0110 Groenten in blik		400		GR		465		7.5		7.5		11		1
397568		SPERZIEBONEN GEB. 1/1		0110 Groenten in blik		800		GR										4
397619		SPERZIEBONEN FIJN  1/1		0110 Groenten in blik		800		GR		917		10		10		12		1
397611		DOPERWTEN EF 1/1		0110 Groenten in blik		800		GR										4
300334		WORTELEN EF 1/4		0110 Groenten in blik		200		GR		233		7		7		7.5		1
300336		DOPERWTEN ZF 1/4		0110 Groenten in blik		200		GR										2
300349		DOPERWT/WORTELEN EF 1/4		0110 Groenten in blik		200		GR										2
300340		SPERZIEBONEN GEB. 1/4		0110 Groenten in blik		200		GR										2
301059		BRUINE BONEN 1/4		0110 Groenten in blik		200		GR		246		7		7		7.5		1
301051		WITTE BONEN IN TOMATENSAUS 1/4		0110 Groenten in blik		200		GR		248		7		7		7.5		1
301052		RODE KOOL MET APPEL 1/4		0110 Groenten in blik		200		GR		234		7		7		7.5		1
318744		TUINBONEN EF 1/4		0110 Groenten in blik		200		GR		229		7		7		7.5		1
319006		KIKKERERWTEN		0110 Groenten in blik		425		ML		488		7.5		7.5		11		1
396982		SPERZIEBONEN GEBR 3/4		0111 Groenten in glas		680		GR		967		10		10		13		1
396984		WORTELEN EF 3/4		0111 Groenten in glas		680		GR		979		10		10		13		1
396998		DOPERWT/WORTEL EF 3/4		0111 Groenten in glas		680		GR		993		10		10		13		1
396991		DOPERWTEN EF 3/4		0111 Groenten in glas		680		GR		991		10		10		13		1
