	own_sku	ean_list	content	content_unit	description	temperature_zone	shelf_life	volume_mm3	brutto_weight	brutto_weight_unit
2074	oA5Dk	{1074334749590995, 1077044939635029, 1074334749597079, 1074334749598427, 1074334749597086}	1077044939635029	0071 Broodvervangers	BARBECUE PAPRIKA	ambient	0	1680000.0	32	GR
2075	5QrQ3	{1077044265082634, 1077044265617447}	1077044265617447	0020 Filter koffie	CAFE═NE VRIJE KOFFIE	ambient	0	1111500.0	523	GR
2076	a858j	{1077044265082610, 1077044265617430}	1077044265617430	0020 Filter koffie	CAFE═NE VRIJE KOFFIE	ambient	0	558000.0	263	GR
2077	drErz	{1077044265617416, 1077044265082658}	1077044265617416	0020 Filter koffie	ROODMERK KOFFIE	ambient	0	1111500.0	522	GR
2078	MnMnb	{1077044265082696, 1077044265617423}	1077044265617423	0020 Filter koffie	ROODMERK KOFFIE	ambient	0	558000.0	264	GR
2079	w8zjO	{1077045270725042, 1076947673037412, 1077336846884585, 1077744291368077, 1077336846884462}	1076947673037412	0233 Kat droog	ADULT KIP & VOLKOREN GRANEN	ambient	0	4702500.0	822	GR
2080	w8zjO	{1077045270725042, 1076947673037412, 1077336846884585, 1077744291368077, 1077336846884462}	1077045270725042	0233 Kat droog	ADULT KIP & VOLKOREN GRANEN	ambient	0	4702500.0	822	GR
2081	drEK7	{1077336846884417, 1077045270725059, 1076947673038907, 1077336846884493, 1077744291369678}	1076947673038907	0233 Kat droog	ADULT  ZALM & VOLKOREN GRANEN	ambient	0	4702500.0	824	GR
2082	drEK7	{1077336846884417, 1077045270725059, 1076947673038907, 1077336846884493, 1077744291369678}	1077045270725059	0233 Kat droog	ADULT  ZALM & VOLKOREN GRANEN	ambient	0	4702500.0	824	GR
2083	46Pb5	{1077047141652341, 1077047141573615}	1077047141652341	0081 Jam	DELIGHT KERSEN	ambient	0	618750.0	494	GR
2084	3gkQG	{1077044265634802, 1077044265634819, 1077044265015564, 1077044265570636}	1077044265570636	0120 Vruchtenconserven	PERZIKEN OP SIROOP 1/2	ambient	0	618750.0	474.0	GR
2085	3gkQG	{1077044265634802, 1077044265634819, 1077044265015564, 1077044265570636}	1077044265634819	0120 Vruchtenconserven	PERZIKEN OP SIROOP 1/2	ambient	0	618750.0	474.0	GR
2086	e5A7P	{1073335227676928, 1073335227677635}	1073335227677635	0164 Snoep verpakt	DROP JO-JO┤S	ambient	0	560000.0	306	GR
