	own_sku	ean_list	content	content_unit	description	temperature_zone	shelf_life	volume_mm3	brutto_weight	brutto_weight_unit
1895	Orrwa	{1077044265594083, 1077044265594076}	1077044265594083	0202 Wijnen rose	HUISWIJN ROS╔ HALFZOET	ambient	0	1952000.0	1407.0	ML
1896	rnnka	{1073359768516673, 1073359768516567}	1073359768516567	0203 Wijnen mousserend	PROSECCO FRIZZANTE DOC	ambient	0	2430000.0	1357	ML
1897	rnnka	{1073359768516673, 1073359768516567}	1073359768516673	0203 Wijnen mousserend	PROSECCO FRIZZANTE DOC	ambient	0	2430000.0	1357	ML
1898	bRRG4	{1077044265596834, 1077044265596827}	1077044265596834	0191 Vruchtensappen groot	WATER&FRUIT SINAASAP/PEER LIGH	ambient	0	1800000.0	1567.0	ML
1899	Beewd	{1073359768516536, 1073359768564339}	1073359768516536	0203 Wijnen mousserend	PROSECCO FRIZZANTE DOC PICCOLO	ambient	0	823875.0	426	ML
1900	Beewd	{1073359768516536, 1073359768564339}	1073359768564339	0203 Wijnen mousserend	PROSECCO FRIZZANTE DOC PICCOLO	ambient	0	823875.0	426	ML
1901	qVV94	{1077044265624032, 1077044265624124}	1077044265624124	0081 Jam	ROZENBOTTEL EXTRA JAM	ambient	0	731250.0	681	ML
1902	ywwbj	{1077044265624018, 1077044265624100}	1077044265624100	0081 Jam	FRAMBOZEN EXTRA JAM	ambient	0	731250.0	677	ML
1903	G11Ao	{1077044265539312, 1077044265539329}	1077044265539329	0191 Vruchtensappen groot	TF. SINAASAPPEL MANDARIJN	ambient	0	1800000.0	1616.0	ML
1904	nQQ28	{1077044265642418, 1077044265642401, 1077044265557194, 1077044265557187}	1077044265557194	0023 Thee	ROOIBOS 20 X 1 KOP	ambient	0	609375.0	66.0	GR
1905	nQQ28	{1077044265642418, 1077044265642401, 1077044265557194, 1077044265557187}	1077044265642418	0023 Thee	ROOIBOS 20 X 1 KOP	ambient	0	609375.0	66.0	GR
1906	VPP4W	{1077044265624049, 1077044265624131}	1077044265624131	0081 Jam	ZWARTE BESSEN EXTRA JAM	ambient	0	731250.0	687	ML
1907	pmmdV	{1077044265083730, 1077044265621291, 1077044265621284}	1077044265621291	0230 Hond nat	ALU HOND LAM, GRANEN, GROENTE	ambient	0	300000.0	161.0	GR
1908	0vv93	{1077044265621048, 1077044265580482, 1077044265621055}	1077044265621055	0232 Kat nat	ALU KAT WILD & GEVOGELTE	ambient	0	202500.0	107.0	GR
1909	5QQ4d	{1077044265630521, 1077044265630514, 1077044265546815}	1077044265630521	0190 Frisdranken groot	LEMON & LIME LIGHT	ambient	0	2176000.0	1546	ML
